,n_nodes,n_processors,width,density,regular,jump,GA_makespan,proposedAlgo
98,20,2,1.0,1.0,1.0,2,198.0,171.0
99,20,2,10.0,0.1,0.1,2,184.0,189.0
100,20,2,10.0,0.1,0.5,2,201.0,199.0
101,20,2,10.0,0.1,1.0,2,183.0,185.0
102,20,2,10.0,0.5,0.1,2,174.0,176.0
103,20,2,10.0,0.5,0.5,2,204.0,208.0
104,20,2,10.0,0.5,1.0,2,168.0,171.0
105,20,2,10.0,1.0,0.1,2,193.0,193.0
106,20,2,10.0,1.0,0.5,2,194.0,196.0
107,20,2,10.0,1.0,1.0,2,191.0,191.0
108,20,4,0.5,0.1,0.1,2,280.0,194.0
109,20,4,0.5,0.1,0.5,2,267.0,190.0
110,20,4,0.5,0.1,1.0,2,207.0,144.0
111,20,4,0.5,0.5,0.1,2,306.0,196.0
112,20,4,0.5,0.5,0.5,2,234.0,126.0
113,20,4,0.5,0.5,1.0,2,284.0,202.0
114,20,4,0.5,1.0,0.1,2,210.0,101.0
115,20,4,0.5,1.0,0.5,2,258.0,114.0
116,20,4,0.5,1.0,1.0,2,268.0,145.0
117,20,4,1.0,0.1,0.1,2,222.0,143.0
118,20,4,1.0,0.1,0.5,2,175.0,123.0
119,20,4,1.0,0.1,1.0,2,172.0,130.0
120,20,4,1.0,0.5,0.1,2,260.0,181.0
121,20,4,1.0,0.5,0.5,2,151.0,86.0
122,20,4,1.0,0.5,1.0,2,190.0,140.0
123,20,4,1.0,1.0,0.1,2,267.0,163.0
124,20,4,1.0,1.0,0.5,2,237.0,127.0
125,20,4,1.0,1.0,1.0,2,217.0,126.0
126,20,4,10.0,0.1,0.1,2,138.0,111.0
127,20,4,10.0,0.1,0.5,2,145.0,139.0
128,20,4,10.0,0.1,1.0,2,152.0,148.0
129,20,4,10.0,0.5,0.1,2,125.0,124.0
130,20,4,10.0,0.5,0.5,2,137.0,134.0
131,20,4,10.0,0.5,1.0,2,146.0,140.0
132,20,4,10.0,1.0,0.1,2,170.0,133.0
133,20,4,10.0,1.0,0.5,2,155.0,138.0
134,20,4,10.0,1.0,1.0,2,129.0,126.0
135,20,6,0.5,0.1,0.1,2,266.0,160.0
136,20,6,0.5,0.1,0.5,2,361.0,198.0
137,20,6,0.5,0.1,1.0,2,200.0,150.0
138,20,6,0.5,0.5,0.1,2,269.0,162.0
139,20,6,0.5,0.5,0.5,2,308.0,145.0
140,20,6,0.5,0.5,1.0,2,234.0,120.0
141,20,6,0.5,1.0,0.1,2,282.0,125.0
142,20,6,0.5,1.0,0.5,2,249.0,132.0
143,20,6,0.5,1.0,1.0,2,294.0,150.0
144,20,6,1.0,0.1,0.1,2,200.0,118.0
145,20,6,1.0,0.1,0.5,2,184.0,130.0
146,20,6,1.0,0.1,1.0,2,216.0,108.0
147,20,6,1.0,0.5,0.1,2,162.0,116.0
148,20,6,1.0,0.5,0.5,2,229.0,113.0
149,20,6,1.0,0.5,1.0,2,228.0,166.0
150,20,6,1.0,1.0,0.1,2,240.0,161.0
151,20,6,1.0,1.0,0.5,2,276.0,167.0
152,20,6,1.0,1.0,1.0,2,219.0,149.0
153,20,6,10.0,0.1,0.1,2,132.0,119.0
154,20,6,10.0,0.1,0.5,2,112.0,102.0
155,20,6,10.0,0.1,1.0,2,125.0,115.0
156,20,6,10.0,0.5,0.1,2,122.0,101.0
157,20,6,10.0,0.5,0.5,2,134.0,112.0
158,20,6,10.0,0.5,1.0,2,148.0,125.0
159,20,6,10.0,1.0,0.1,2,142.0,121.0
160,20,6,10.0,1.0,0.5,2,131.0,117.0
161,20,6,10.0,1.0,1.0,2,123.0,109.0
162,30,2,0.5,0.1,0.1,2,344.0,314.0
163,30,2,0.5,0.1,0.5,2,344.0,303.0
164,30,2,0.5,0.1,1.0,2,352.0,278.0
165,30,2,0.5,0.5,0.1,2,329.0,247.0
166,30,2,0.5,0.5,0.5,2,351.0,257.0
167,30,2,0.5,0.5,1.0,2,376.0,254.0
168,30,2,0.5,1.0,0.1,2,390.0,262.0
169,30,2,0.5,1.0,0.5,2,345.0,265.0
170,30,2,0.5,1.0,1.0,2,386.0,291.0
171,30,2,1.0,0.1,0.1,2,279.0,236.0
172,30,2,1.0,0.1,0.5,2,343.0,297.0
173,30,2,1.0,0.1,1.0,2,271.0,246.0
174,30,2,1.0,0.5,0.1,2,300.0,267.0
175,30,2,1.0,0.5,0.5,2,294.0,263.0
176,30,2,1.0,0.5,1.0,2,304.0,265.0
177,30,2,1.0,1.0,0.1,2,295.0,244.0
178,30,2,1.0,1.0,0.5,2,303.0,284.0
179,30,2,1.0,1.0,1.0,2,334.0,271.0
180,30,2,10.0,0.1,0.1,2,281.0,268.0
181,30,2,10.0,0.1,0.5,2,284.0,288.0
182,30,2,10.0,0.1,1.0,2,278.0,284.0
183,30,2,10.0,0.5,0.1,2,278.0,270.0
184,30,2,10.0,0.5,0.5,2,249.0,244.0
185,30,2,10.0,0.5,1.0,2,274.0,276.0
186,30,2,10.0,1.0,0.1,2,264.0,265.0
187,30,2,10.0,1.0,0.5,2,263.0,263.0
188,30,2,10.0,1.0,1.0,2,255.0,258.0
189,30,4,0.5,0.1,0.1,2,382.0,260.0
190,30,4,0.5,0.1,0.5,2,293.0,220.0
191,30,4,0.5,0.1,1.0,2,315.0,218.0
192,30,4,0.5,0.5,0.1,2,328.0,172.0
193,30,4,0.5,0.5,0.5,2,368.0,196.0
194,30,4,0.5,0.5,1.0,2,403.0,193.0
195,30,4,0.5,1.0,0.1,2,507.0,262.0
196,30,4,0.5,1.0,0.5,2,443.0,189.0
197,30,4,0.5,1.0,1.0,2,370.0,177.0
198,30,4,1.0,0.1,0.1,2,216.0,183.0
199,30,4,1.0,0.1,0.5,2,227.0,146.0
200,30,4,1.0,0.1,1.0,2,253.0,144.0
201,30,4,1.0,0.5,0.1,2,262.0,177.0
202,30,4,1.0,0.5,0.5,2,277.0,175.0
203,30,4,1.0,0.5,1.0,2,268.0,205.0
204,30,4,1.0,1.0,0.1,2,284.0,207.0
205,30,4,1.0,1.0,0.5,2,272.0,147.0
206,30,4,1.0,1.0,1.0,2,327.0,227.0
207,30,4,10.0,0.1,0.1,2,219.0,162.0
208,30,4,10.0,0.1,0.5,2,180.0,168.0
209,30,4,10.0,0.1,1.0,2,178.0,177.0
